unique_id,ds,y
series_1,2024-03-22,226.1
series_1,2024-03-23,228.4
series_1,2024-03-24,227.7
series_1,2024-03-25,231.0
series_1,2024-03-26,233.3
series_1,2024-03-27,232.6
series_1,2024-03-28,235.9
series_1,2024-03-29,238.2
series_1,2024-03-30,237.5
series_1,2024-03-31,240.8
series_2,2024-01-01,250.3
series_2,2024-01-02,248.7
series_2,2024-01-03,251.2
series_2,2024-01-04,249.5
series_2,2024-01-05,252.1
series_2,2024-01-06,250.4
series_2,2024-01-07,253.0
series_2,2024-01-08,251.3
series_2,2024-01-09,253.9
series_2,2024-01-10,252.2
series_2,2024-01-11,254.8
series_2,2024-01-12,253.1
series_2,2024-01-13,255.7
series_2,2024-01-14,254.0
series_2,2024-01-15,256.6
series_2,2024-01-16,254.9
series_2,2024-01-17,257.5
series_2,2024-01-18,255.8
series_2,2024-01-19,258.4
series_2,2024-01-20,256.7
series_2,2024-01-21,259.3
series_2,2024-01-22,257.6
series_2,2024-01-23,260.2
series_2,2024-01-24,258.5
series_2,2024-01-25,261.1
series_2,2024-01-26,259.4
series_2,2024-01-27,262.0
series_2,2024-01-28,260.3
series_2,2024-01-29,262.9
series_2,2024-01-30,261.2
series_2,2024-01-31,263.8
series_2,2024-02-01,262.1
series_2,2024-02-02,264.7
series_2,2024-02-03,263.0
series_2,2024-02-04,265.6
series_2,2024-02-05,263.9
series_2,2024-02-06,266.5
series_2,2024-02-07,264.8
series_2,2024-02-08,267.4
series_2,2024-02-09,265.7
series_2,2024-02-10,268.3
series_2,2024-02-11,266.6
series_2,2024-02-12,269.2
series_2,2024-02-13,267.5
series_2,2024-02-14,270.1
series_2,2024-02-15,268.4
series_2,2024-02-16,271.0
series_2,2024-02-17,269.3
series_2,2024-02-18,271.9
series_2,2024-02-19,270.2
series_2,2024-02-20,272.8
series_2,2024-02-21,271.1
series_2,2024-02-22,273.7
series_2,2024-02-23,272.0
series_2,2024-02-24,274.6
series_2,2024-02-25,272.9
series_2,2024-02-26,275.5
series_2,2024-02-27,273.8
series_2,2024-02-28,276.4
series_2,2024-02-29,274.7
series_2,2024-03-01,277.3
series_2,2024-03-02,275.6
series_2,2024-03-03,278.2
series_2,2024-03-04,276.5
series_2,2024-03-05,279.1
series_2,2024-03-06,277.4
series_2,2024-03-07,280.0
series_2,2024-03-08,278.3
series_2,2024-03-09,280.9
series_2,2024-03-10,279.2
series_2,2024-03-11,281.8
series_2,2024-03-12,280.1
series_2,2024-03-13,282.7
series_2,2024-03-14,281.0
series_2,2024-03-15,283.6
series_2,2024-03-16,281.9
series_2,2024-03-17,284.5
series_2,2024-03-18,282.8
series_2,2024-03-19,285.4
series_2,2024-03-20,283.7
series_2,2024-03-21,286.3
series_2,2024-03-22,284.6
series_2,2024-03-23,287.2
series_2,2024-03-24,285.5
series_2,2024-03-25,288.1
series_2,2024-03-26,286.4
series_2,2024-03-27,289.0
series_2,2024-03-28,287.3
series_2,2024-03-29,289.9
series_2,2024-03-30,288.2
series_2,2024-03-31,290.8
series_3,2024-01-01,75.2
series_3,2024-01-02,76.8
series_3,2024-01-03,75.5
series_3,2024-01-04,77.3
series_3,2024-01-05,78.9
series_3,2024-01-06,77.6
series_3,2024-01-07,79.4
series_3,2024-01-08,81.0
series_3,2024-01-09,79.7
series_3,2024-01-10,81.5
series_3,2024-01-11,83.1
series_3,2024-01-12,81.8
series_3,2024-01-13,83.6
series_3,2024-01-14,85.2
series_3,2024-01-15,83.9
series_3,2024-01-16,85.7
series_3,2024-01-17,87.3
series_3,2024-01-18,86.0
series_3,2024-01-19,87.8
series_3,2024-01-20,89.4
series_3,2024-01-21,88.1
series_3,2024-01-22,89.9
series_3,2024-01-23,91.5
series_3,2024-01-24,90.2
series_3,2024-01-25,92.0
series_3,2024-01-26,93.6
series_3,2024-01-27,92.3
series_3,2024-01-28,94.1
series_3,2024-01-29,95.7
series_3,2024-01-30,94.4
series_3,2024-01-31,96.2
series_3,2024-02-01,97.8
series_3,2024-02-02,96.5
series_3,2024-02-03,98.3
series_3,2024-02-04,99.9
series_3,2024-02-05,98.6
series_3,2024-02-06,100.4
series_3,2024-02-07,102.0
series_3,2024-02-08,100.7
series_3,2024-02-09,102.5
series_3,2024-02-10,104.1
series_3,2024-02-11,102.8
series_3,2024-02-12,104.6
series_3,2024-02-13,106.2
series_3,2024-02-14,104.9
series_3,2024-02-15,106.7
series_3,2024-02-16,108.3
series_3,2024-02-17,107.0
series_3,2024-02-18,108.8
series_3,2024-02-19,110.4
series_3,2024-02-20,109.1
series_3,2024-02-21,110.9
series_3,2024-02-22,112.5
series_3,2024-02-23,111.2
series_3,2024-02-24,113.0
series_3,2024-02-25,114.6
series_3,2024-02-26,113.3
series_3,2024-02-27,115.1
series_3,2024-02-28,116.7
series_3,2024-02-29,115.4
series_3,2024-03-01,117.2
series_3,2024-03-02,118.8
series_3,2024-03-03,117.5
series_3,2024-03-04,119.3
series_3,2024-03-05,120.9
series_3,2024-03-06,119.6
series_3,2024-03-07,121.4
series_3,2024-03-08,123.0
series_3,2024-03-09,121.7
series_3,2024-03-10,123.5
series_3,2024-03-11,125.1
series_3,2024-03-12,123.8
series_3,2024-03-13,125.6
series_3,2024-03-14,127.2
series_3,2024-03-15,125.9
series_3,2024-03-16,127.7
series_3,2024-03-17,129.3
series_3,2024-03-18,128.0
series_3,2024-03-19,129.8
series_3,2024-03-20,131.4
series_3,2024-03-21,130.1
series_3,2024-03-22,131.9
series_3,2024-03-23,133.5
series_3,2024-03-24,132.2
series_3,2024-03-25,134.0
series_3,2024-03-26,135.6
series_3,2024-03-27,134.3
series_3,2024-03-28,136.1
series_3,2024-03-29,137.7
series_3,2024-03-30,136.4
series_3,2024-03-31,138.2
